Id,Label,PageRank
4299,"ARIS ROSEN SAU",1.86691552373688e-05
4300,"ARQUITRABE ACTIVOS SL",1.86691552373688e-05
4301,"AYT CAJAGRANADA HIPOTECARIO I FONDO DE TITULIZACION DE ACTIVOS",1.86691552373688e-05
4302,"AYT COLATERALES GLOBAL HIPOTECARIO F.T.A.",1.86691552373688e-05
4303,"AYT ICO-FTVPO CAJA MURCIA, FONDO DE TITULIZACION DE ACTIVOS",1.86691552373688e-05
4304,"BANCO BPI SA",0.000325937523827086
4305,"BEIMAD INVESTMENT SERVICES CO. LTD",1.86691552373688e-05
4306,"BUILDINGCENTER SAU",1.86691552373688e-05
4307,"CAIXA CAPITAL FONDOS SOCIEDAD DE CAPITAL RIESGO SA.",1.86691552373688e-05
4308,"CAIXA CAPITAL MICRO SCR SA.",1.86691552373688e-05
4309,"CAIXA EMPRENDEDOR XXI SA",1.86691552373688e-05
4310,"CAIXABANK ASSET MANAGEMENT SGIIC SA.",1.86691552373688e-05
4311,"CAIXABANK BRASIL ESCRITORIO DE REPRESENTACAO LTDA.",1.86691552373688e-05
4312,"CAIXABANK FACILITIES MANAGEMENT S.A.",1.86691552373688e-05
4313,"CAIXABANK GLOBAL SICAV",1.86691552373688e-05
4314,"CAIXABANK NOTAS MINORISTAS S.A.",1.86691552373688e-05
4315,"CAIXABANK OPERATIONAL SERVICES S.A.",1.86691552373688e-05
4316,"CAIXABANK PAYMENTS & CONSUMER EFC EP SA.",0.000151207848817567
4317,"CAIXABANK PAYMENTS EFC EP SA.",1.86691552373688e-05
4318,"CAIXABANK TECH S.L.",1.86691552373688e-05
4319,"CAIXABANK TITULIZACION SGFT SA.",1.86691552373688e-05
4320,"CAIXABANK WEALTH MANAGEMENT LUXEMBOURG S.A.",1.86691552373688e-05
4321,"CENTRO DE SERVICIOS OPERATIVOS E INGENIERIA DE PROCESOS SL.",1.86691552373688e-05
4322,"ESTUGEST S.A.",1.86691552373688e-05
4323,"GDS GRUPO DE SERVICIOS I SA",1.86691552373688e-05
4324,"GESTION GLOBAL DE PARTICIPACIONES SL.",1.86691552373688e-05
4325,"GRAND CORAL PROPERTY & FACILITY MANAGEMENT SA DE CV",1.86691552373688e-05
4326,"GRUPO ALUMINIOS DE PRECISION SL",1.86691552373688e-05
4327,"HISCAN PATRIMONIO SAU",1.86691552373688e-05
4328,"LIDERES DE EMPRESA SIGLO XXI SL",1.86691552373688e-05
4329,"NEGOCIO DE FINANZAS E INVERSIONES II SL",1.86691552373688e-05
4330,"NUEVO MICRO BANK, S.A.",1.93591828341791e-05
4331,"OPENWEALTH S.A.",1.86691552373688e-05
4332,"PENSIONS CAIXA 128 FONDO DE PENSIONES.",1.86691552373688e-05
4333,"PENSIONS CAIXA 131 FONDO DE PENSIONES.",1.86691552373688e-05
4334,"PENSIONS CAIXA 158 FONDO DE PENSIONES.",1.86691552373688e-05
4335,"PENSIONS CAIXA 174 FONDO DE PENSIONES.",1.86691552373688e-05
4336,"PENSIONS CAIXA 5 FONDO DE PENSIONES",1.86691552373688e-05
4337,"PENSIONS CAIXA 55 FP",1.86691552373688e-05
4338,"PENSIONS CAIXA 67 FP",1.86691552373688e-05
4339,"PENSIONS CAIXA BOLSA INTERNACIONAL FP",1.86691552373688e-05
4340,"PENSIONS CAIXA RF MIXTA FP",1.86691552373688e-05
4341,"PENSIONS CAIXA SELECCION FP",1.86691552373688e-05
4342,"PUERTAS DE LORCA DESARROLLOS EMPRESARIALES SOCIEDAD LIMITADA.",1.86691552373688e-05
4343,"PUERTO TRIANA SA",1.86691552373688e-05
4344,"TDA SA NOSTRA EMPRESAS 1 FONDO DE TITULIZACION DE ACTIVOS",1.86691552373688e-05
4345,"TDA SA NOSTRA EMPRESAS 2 F.T.A",1.86691552373688e-05
4346,"TENEDORA FINTECH VENTURE SA.",1.86691552373688e-05
4347,"UNION DE CREDITO PARA LA FINANCIACION MOBILIARE E INMOBILIARE",1.86691552373688e-05
4348,"VALENCIANA DE INVERSIONES MOBILIARIAS SL",1.86691552373688e-05
4349,"VIDACAIXA, S.A.U. DE SEGUROS Y REASEGUROS",1.86691552373688e-05
4350,"WEB GESTION 1 SA",1.86691552373688e-05
4351,"WEB GESTION 4 SA",1.86691552373688e-05
4352,"CAIXA CORP SA",1.86691552373688e-05
4353,"IMAGINERSGEN S.A.",1.86691552373688e-05
4354,"INTER CAIXA SA",1.86691552373688e-05
4355,"ABSIDE CAPITAL, SICAV, SA",1.86691552373688e-05
4356,"CAIXA CAPITAL BIOMED SCR SA.",1.86691552373688e-05
4357,"CAIXA CAPITAL TIC SCR SA.",1.86691552373688e-05
4358,"COIA FINANCIERA NAVAL SL.",1.86691552373688e-05
4359,"PLAYA PARAISO MAYA SA DE CV",1.86691552373688e-05
4360,"INMOBILIARIA PIEDRA BOLAS SA DE CV",1.86691552373688e-05
4361,"PROMOCIONES Y PROYECTOS MURCILOR SL",1.86691552373688e-05
4362,"SOL EDIFICAT PONENT SL",1.86691552373688e-05
4363,"WELLNESS SPORT SL",1.86691552373688e-05
4364,"MURAL-ESTADIO SOCIEDAD LIMITADA.",1.86691552373688e-05
4365,"JUVIGOLF, SA",1.86691552373688e-05
4366,"CARTERA PERSEIDAS SL",1.86691552373688e-05
4367,"BANCO POPULAR AHORRO DE CUBA",1.86691552373688e-05
4368,"SERALICAN SOCIEDAD LIMITADA",1.86691552373688e-05
4369,"IT NOW SA.",1.86691552373688e-05
4370,"GIRONA, SA",1.86691552373688e-05
4371,"INVERSIONES ALARIS SL",1.86691552373688e-05
4372,"MURCIA EMPRENDE SOCIEDAD DE CAPITAL RIESGO SA.",1.86691552373688e-05
4373,"PORTIC BARCELONA SA",1.86691552373688e-05
4374,"PROYECTOS E INVERSIONES VALENCIANAS SA",1.86691552373688e-05
4375,"URBANO DIVERTIA SL",1.86691552373688e-05
4376,"FALSTACEN SL",1.86691552373688e-05
4377,"BRILLIANCE-BEA AUTO FINANCE CO., LTD",1.86691552373688e-05
4378,"DREMBUL SL",1.86691552373688e-05
4379,"GESTIO DE MITJANS DE PAGAMENT S.L.",1.86691552373688e-05
4380,"INSTITUTO VALENCIANO DE INVESTIGACIONES ECONOMICAS SA",1.86691552373688e-05
4381,"SOCIETAT CATALANA PER A LA MOBILITAT SA.",1.86691552373688e-05
4382,"COMPANIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS S.A.",1.86691552373688e-05
4383,"GRUPO TFP S.A.C.",1.86691552373688e-05
4384,"TELEFONICA FACTORING COLOMBIA S A",1.86691552373688e-05
4385,"TELEFONICA FACTORING PERU S.A.C.",1.86691552373688e-05
4386,"PARQUE CIENTIFICO TECNOLOGICO DE CORDOBA SL",1.86691552373688e-05
4387,"MOBILIARIA MONESA SA",1.86691552373688e-05
4388,"ARCALIA PRIVATE EQUITY, SCR DE REGIMEN SIMPLIFICADO, SA",1.86691552373688e-05
4389,"ISBA SOCIEDAD DE GARANTIA RECIPROCA",1.86691552373688e-05
4390,"SOCIEDAD CONCESIONARIA AEROPUERTO DE MURCIA SA",1.86691552373688e-05
4391,"CONFEDERACIÓN ESPAÑOLA DE CAJAS DE AHORROS - CECA",1.86691552373688e-05
4392,"SOCIEDAD DE GARANTIAS Y AVALES DE CANARIAS S.G.R.",1.86691552373688e-05
4393,"SONAE SGPS S.A.",1.86691552373688e-05
4394,"FORESTA PRIVATE EQUITY II SCR SA.",1.86691552373688e-05
4395,"IBERDROLA SA",1.86691552373688e-05
4396,"SA NOSTRA DOMINICANA",1.86691552373688e-05
4397,"COOPERATIEVE RABOBANK U.A.",0.00401331157252902
4398,"2732932 ONTARIO LIMITED",1.86691552373688e-05
4399,"ACC BANK",1.86691552373688e-05
4400,"ARGENTA DUNDEE LIMITED",1.86691552373688e-05
4401,"AVFI TIDE IV A, LP",1.86691552373688e-05
4402,"BODEMGOED B.V.",1.86691552373688e-05
4403,"BPD EUROPE B.V.",1.86691552373688e-05
4404,"BPD-LH B.V.",1.86691552373688e-05
4405,"BRIGHTFIELD TRADING B.V.",1.86691552373688e-05
4406,"BUTTERFLY FIGHTER (GBV) CO-INVEST, L.P.",1.86691552373688e-05
4407,"CANAL VIEW BV",1.86691552373688e-05
4408,"CLASSE UNICA DO MAPLE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CP INVESTIMENTO NO EXTERIOR",1.86691552373688e-05
4409,"CLASSE UNICA DO OAK FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CP INVESTIMENTO NO EXTERIOR",1.86691552373688e-05
4410,"DE LAGE LANDEN",1.86691552373688e-05
4411,"DE LAGE LANDEN (CHINA) CO.LTD.",1.86691552373688e-05
4412,"DE LAGE LANDEN (CHINA) FACTORING CO. LTD.",1.86691552373688e-05
4413,"DE LAGE LANDEN CHILE S A",1.86691552373688e-05
4414,"DLL 2019-1 LLC",1.86691552373688e-05
4415,"DLL I LIMITED PARTNERSHIP",1.86691552373688e-05
4416,"DLL LEASING ARGENTINA S.A.",1.86691552373688e-05
4417,"FRANEKER ZUID C.V.",1.86691552373688e-05
4418,"GRANIT LIZING KORLATOLT FELELOSSEGU TARSASAG",1.86691552373688e-05
4419,"INVHER B.V.",1.86691552373688e-05
4420,"NEW CHINATOWN AMSTERDAM C.V.",1.86691552373688e-05
4421,"NEW CHINATOWN BEHEER B.V.",1.86691552373688e-05
4422,"OBVION N.V.",1.86691552373688e-05
4423,"OOSTERDOKSEILAND ONTWIKKELING AMSTERDAM C.V.",1.86691552373688e-05
4424,"PSP CO-INVESTMENT HOLDINGS II, L.P.",1.86691552373688e-05
4425,"PT ADITIRTA SURYASENTOSA",1.86691552373688e-05
4426,"PT ANTARIKSABUANA CITANAGARA",1.86691552373688e-05
4427,"PT ANTARINDO OPTIMA",1.86691552373688e-05
4428,"RABO CAPITAL II B.V.",1.86691552373688e-05
4429,"RABO DRB HOLDING B.V.",1.86691552373688e-05
4430,"RABO FINANCIAL SOLUTIONS HOLDING B.V.",1.86691552373688e-05
4431,"RABO FOUNDATIONAL INVESTMENTS B.V.",1.86691552373688e-05
4432,"RABO FRONTIER VENTURES B.V.",1.86691552373688e-05
4433,"RABO FUND MANAGEMENT B.V.",1.86691552373688e-05
4434,"RABO GROEN BANK B.V.",1.86691552373688e-05
4435,"RABO HERVERZEKERINGSMAATSCHAPPIJ NV",1.86691552373688e-05
4436,"RABO INVESTMENTS B.V.",1.86691552373688e-05
4437,"RABO PARTICIPATIES B.V.",1.86691552373688e-05
4438,"RABO PARTNERSHIPS B.V.",1.86691552373688e-05
4439,"RABO VASTGOEDGROEP HOLDING N.V.",5.04104246906452e-05
4440,"RABO VENTURES B.V.",1.86691552373688e-05
4441,"RABOBANK INTERNATIONAL HOLDING B.V.",1.86691552373688e-05
4442,"RABOBANK NEDERLAND",1.86691552373688e-05
4443,"RI INVESTMENTS HOLDING B.V.",1.86691552373688e-05
4444,"ROBECO",1.86691552373688e-05
4445,"SCHRETLEN ESTATE MANAGEMENT SERVICES B.V.",1.86691552373688e-05
4446,"SPECIAL ASSET EQUITY HOLDINGS SERIES LLC",1.86691552373688e-05
4447,"SPEEDINVEST F II GMBH & CO KG",1.86691552373688e-05
4448,"STICHTING MORTGAGE PURCHASING COMPANY HOLLAND HOMES",1.86691552373688e-05
4449,"V.O.F. ASSENRADE",1.86691552373688e-05
4450,"VISTA HYPOTHEKEN B.V.",1.86691552373688e-05
4451,"VOF EN BLOC",1.86691552373688e-05
4452,"RI F&A VENTURES II C.V.",1.86691552373688e-05
4453,"RV II B.V.",1.86691552373688e-05
4454,"BEHEER- EN BELEGGINGSMAATSCHAPPIJ ZOFRI B.V.",1.86691552373688e-05
4455,"FIDC DONEGAL - RESPONSABILIDADE LIMITADA - SEGMENTO COMERCIAL",1.86691552373688e-05
4456,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SUMITOMO RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4457,"UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGRONEGOCIO RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4458,"DUTCH GREENTECH FUND B.V.",1.86691552373688e-05
4459,"FIDC MRFG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4460,"FMC 202201 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4461,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO AGRONEGOCIO COOPERCITRUS - RESPONSABILIDADE LIMITAD",1.86691552373688e-05
4462,"KOPPERT FUNDO DE INVEST EM DIREITOS CREDITORIOS SEGMENTO AGRONEGOCIO DE RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4463,"ROVENSA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGRONEGOCIO RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4464,"CHAMO B.V.",1.86691552373688e-05
4465,"MOERASDRAAK B.V.",1.86691552373688e-05
4466,"VOF OCDB",1.86691552373688e-05
4467,"VOF WEIDEBLICK OPSTALONTWIKKELING",1.86691552373688e-05
4468,"WEIDEBLICK ONTWIKKELING B.V",1.86691552373688e-05
4469,"THE SUSTAINABLES B.V.",1.86691552373688e-05
4470,"UTRECHT HOLDINGS SEED FUND B.V.",1.86691552373688e-05
4471,"ONTWIKKELINGSCOMBINATIE TUINDERSHOF B.V.",1.86691552373688e-05
4472,"ALBAUGH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA",1.86691552373688e-05
4473,"CKO HEILOO B.V.",1.86691552373688e-05
4474,"V.O.F. RHENEN VOGELENZANG",1.86691552373688e-05
4475,"CONSORTIUM DE DIJKEN B.V.",1.86691552373688e-05
4476,"GILDE BUY-OUT FUND II B.V.",1.86691552373688e-05
4477,"AGCO FINANCE AG",1.86691552373688e-05
4478,"AGCO FINANCE B.V.",1.86691552373688e-05
4479,"AGCO FINANCE LLC",1.86691552373688e-05
4480,"CBSC CAPITAL INC",1.86691552373688e-05
4481,"ONTWIKKELCOMBINATIE HART VAN ZUID B.V.",1.86691552373688e-05
4482,"RABO AGRIFINANCE INC",1.86691552373688e-05
4483,"RABO CAPITAL SERVICES, INC.",1.86691552373688e-05
4484,"REMBRANDT",1.86691552373688e-05
4485,"REMBRANDT F&O B.V.",1.86691552373688e-05
4486,"ACT BV",1.86691552373688e-05
4487,"BACHSTRAAT B.V.",1.86691552373688e-05
4488,"BOUWERK B.V.",1.86691552373688e-05
4489,"BPD & KEYSTONE B.V.",1.86691552373688e-05
4490,"BPD & KUIN VASTGOEDONTWIKKELING VOF",1.86691552373688e-05
4491,"BPD ARCUS RENESSE B.V.",1.86691552373688e-05
4492,"C.V. PARK TRIANGEL",1.86691552373688e-05
4493,"CLEAN TECH PRIVATE EQUITY II EUR",1.86691552373688e-05
4494,"COMBINATIE ZOETERWOUDE C.V.",1.86691552373688e-05
4495,"CROMHOFFPARK B.V.",1.86691552373688e-05
4496,"CUORE ONTWIKKELING B.V.",1.86691552373688e-05
4497,"DE HAESE BEHEER B.V.",1.86691552373688e-05
4498,"DE HOGE REGT B.V.",1.86691552373688e-05
4499,"DE NIEUWE HOEF ONTWIKKELING B.V.",1.86691552373688e-05
4500,"ESSENDAEL BEHEER B.V.",1.86691552373688e-05
4501,"GEM CAROLUS DEN BOSCH BEHEER B.V.",1.86691552373688e-05
4502,"GEM CAROLUS DEN BOSCH C.V.",1.86691552373688e-05
4503,"GEM ESSENDAEL C.V.",1.86691552373688e-05
4504,"HOEF EN HAAG BEHEER B.V.",1.86691552373688e-05
4505,"HOEF EN HAAG C.V.",1.86691552373688e-05
4506,"HOUTEN-ZUID BEHEER B.V.",1.86691552373688e-05
4507,"HP ONTWIKKELING 1.5 C.V.",1.86691552373688e-05
4508,"HP ONTWIKKELING 13.16 C.V.",1.86691552373688e-05
4509,"HP ONTWIKKELING 15.21 C.V.",1.86691552373688e-05
4510,"HP ONTWIKKELING 19 C.V.",1.86691552373688e-05
4511,"HP ONTWIKKELING 2.3.4 C.V.",1.86691552373688e-05
4512,"HP ONTWIKKELING 2.3.4. B C.V.",1.86691552373688e-05
4513,"HP ONTWIKKELING 29 C.V.",1.86691552373688e-05
4514,"HP ONTWIKKELING 6 C.V.",1.86691552373688e-05
4515,"HP ONTWIKKELING 789 B C.V.",1.86691552373688e-05
4516,"HP ONTWIKKELING 789 C.V.",1.86691552373688e-05
4517,"HYDE PARK HOOFDDORP B.V.",1.86691552373688e-05
4518,"KREIFLAND B.V.",1.86691552373688e-05
4519,"OC BALKON BEHEER B.V.",1.86691552373688e-05
4520,"OEGSTGEEST AAN DE RIJN VOF",1.86691552373688e-05
4521,"ONTWIKKEL COMBINATIE ISSELT B.V.",1.86691552373688e-05
4522,"ONTWIKKELCOMBINATIE BPD - DE NIJS B.V.",1.86691552373688e-05
4523,"ONTWIKKELCOMBINATIE BPD-T&G V.O.F.",1.86691552373688e-05
4524,"ONTWIKKELCOMBINATIE DE PAS B.V.",1.86691552373688e-05
4525,"ONTWIKKELCOMBINATIE EXPLORIUS/BPD B.V.",1.86691552373688e-05
4526,"ONTWIKKELCOMBINATIE HET DORP VOF",1.86691552373688e-05
4527,"ONTWIKKELINGSBEDRIJF ""WAALFRONT"" BEHEER B.V.",1.86691552373688e-05
4528,"ONTWIKKELINGSBEDRIJF ""WAALFRONT"" C.V.",1.86691552373688e-05
4529,"ONTWIKKELINGSBEDRIJF DE WESTLANDSE ZOOM B.V.",1.86691552373688e-05
4530,"ONTWIKKELINGSCOMBINATIE BALKON MAASSLUIS C.V.",1.86691552373688e-05
4531,"ONTWIKKELINGSCOMBINATIE DAMCENTRUM BESTUUR B.V.",1.86691552373688e-05
4532,"ONTWIKKELINGSCOMBINATIE DAMCENTRUM C.V.",1.86691552373688e-05
4533,"ONTWIKKELINGSCOMBINATIE ENERGIEPARK B.V.",1.86691552373688e-05
4534,"ONTWIKKELINGSCOMBINATIE HOUTEN-ZUID C.V.",1.86691552373688e-05
4535,"ONTWIKKELINGSCOMBINATIE SANCTA MARIA BESTUUR B.V.",1.86691552373688e-05
4536,"ONTWIKKELINGSCOMBINATIE SANCTA MARIA C.V.",1.86691552373688e-05
4537,"ONTWIKKELINGSCOMBINATIE THIENDENLAND II - ZEVENDER BEHEER B.V.",1.86691552373688e-05
4538,"ONTWIKKELINGSCOMBINATIE THIENDENLAND II - ZEVENDER C.V.",1.86691552373688e-05
4539,"ONTWIKKELINGSCOMBINATIE VROONDAAL V.O.F.",1.86691552373688e-05
4540,"ONTWIKKELINGSMAATSCHAPPIJ DE HAESE C.V.",1.86691552373688e-05
4541,"ONTWIKKELINGSMAATSCHAPPIJ GRONDEN PRINSENBEEK B.V.",1.86691552373688e-05
4542,"ONTWIKKELINGSMAATSCHAPPIJ LOOBEEK B.V.",1.86691552373688e-05
4543,"PARK TRIANGEL BEHEER B.V.",1.86691552373688e-05
4544,"PIETER VREEDEPLEIN BEHEER B.V.",1.86691552373688e-05
4545,"PIETER VREEDEPLEIN ONTWIKKELING C.V.",1.86691552373688e-05
4546,"RENGERSWETERING BUNSCHOTEN B.V.",1.86691552373688e-05
4547,"V.O.F. ACHTER DE LANGE STALLEN",1.86691552373688e-05
4548,"V.O.F. BAANDERVESTING",1.86691552373688e-05
4549,"V.O.F. DE BEEMSTER COMPAGNIE",1.86691552373688e-05
4550,"V.O.F. DE BOLST-ERP",1.86691552373688e-05
4551,"V.O.F. DE VLIJT BPD - NIKKELS",1.86691552373688e-05
4552,"V.O.F. ONTWIKKELINGSCOMBINATIE BPD/KWP - RIJNHUIZEN",1.86691552373688e-05
4553,"V.O.F. ONTWIKKELINGSCOMBINATIE BPD/TREBBE",1.86691552373688e-05
4554,"V.O.F. RIZ - BPD",1.86691552373688e-05
4555,"V.O.F. VIERHAVENS",1.86691552373688e-05
4556,"V.O.F. WEESPERSLUIS",1.86691552373688e-05
4557,"VASTGOEDMAATSCHAPPIJ MEERDREEF B.V.",1.86691552373688e-05
4558,"VEURSE HORSTEN BEHEER B.V.",1.86691552373688e-05
4559,"VEURSE HORSTEN C.V.",1.86691552373688e-05
4560,"VOF BLOEMENDAL BARNEVELD",1.86691552373688e-05
4561,"VOF BOVENKAMP",1.86691552373688e-05
4562,"VOF BPD-WHOON",1.86691552373688e-05
4563,"VOF DE HUDSONS",1.86691552373688e-05
4564,"VOF ELIAS BEECKMAN",1.86691552373688e-05
4565,"VOF HERDEREWICH",1.86691552373688e-05
4566,"VOF HET KOETSHUIS",1.86691552373688e-05
4567,"VOF LAND VAN COUDEWATER",1.86691552373688e-05
4568,"VOF MERWEHOOFD",1.86691552373688e-05
4569,"VOF OCWZ",1.86691552373688e-05
4570,"VOF ONTWIKKELCOMBINATIE BPD / DURA VERMEER",1.86691552373688e-05
4571,"VOF ONTWIKKELINGSCOMBINATIE VELD 9",1.86691552373688e-05
4572,"VOF PHILHAVANA",1.86691552373688e-05
4573,"VOF PLANTAGE GELDERMALSEN",1.86691552373688e-05
4574,"VOF REEVE-KAMPEN",1.86691552373688e-05
4575,"VOF VORM BPD HOUTHAVEN",1.86691552373688e-05
4576,"VOF WHOON-BPD",1.86691552373688e-05
4577,"WATERINGSE VELD BEHEER B.V.",1.86691552373688e-05
4578,"WATERWEIDE V.O.F.",1.86691552373688e-05
4579,"WESTWIJK ZUIDOOST BEHEER B.V.",1.86691552373688e-05
4580,"WESTWIJK ZUIDOOST C.V.",1.86691552373688e-05
4581,"WIJNHAVENKWARTIER BEHEER B.V.",1.86691552373688e-05
4582,"WIJNHAVENKWARTIER ONTWIKKELING FASE I C.V.",1.86691552373688e-05
4583,"ZUIDGROND B.V.",1.86691552373688e-05
4584,"ZUIDSCHANS BEHEER B.V.",1.86691552373688e-05
4585,"ZWARTE WATER ONTWIKKELCOMBINATIE B.V.",1.86691552373688e-05
4586,"BTM - BANCO TERRA MOCAMBIQUE",1.86691552373688e-05
4587,"HEIPLOEG HOLDING B.V.",1.86691552373688e-05
4588,"FRUTA MADURA B.V.",1.86691552373688e-05
4589,"ARLON FOOD & AGRICULTURE PARTNERS LP",1.86691552373688e-05
4590,"TREASURUP B.V.",1.86691552373688e-05
4591,"ONTWIKKELINGSVERBAND AMERSTAETE 3 V.O.F.",1.86691552373688e-05
4592,"ONTWIKKELINGSVERBAND HOUTEN C.V.",1.86691552373688e-05
4593,"NORDIAN FUND II COÖPERATIEF U.A.",1.86691552373688e-05
4594,"ROTIJ VASTGOEDONTWIKKELING B.V.",1.86691552373688e-05
4595,"V.O.F. ROYAAL ZUID",1.86691552373688e-05
4596,"VOF ONTWIKKELINGSCOMBINATIE BROUWHUIZEN GROENLO",1.86691552373688e-05
4597,"EFG HOLDCO B.V.",1.86691552373688e-05
4598,"KONINKLIJKE WAGENBORG B.V.",1.86691552373688e-05
4599,"ARLON FOOD AND AGRICULTURE ASSOCIATES LLC",1.86691552373688e-05
4600,"BRIGHTLANDS AGRIFOOD FUND B.V.",1.86691552373688e-05
4601,"NMB",1.86691552373688e-05
4602,"VOF GRONDBANK LANGEDIJK",1.86691552373688e-05
4603,"BATAVIA HAVEN BEHEER B.V.",1.86691552373688e-05
4604,"CONSORTIUM STAPPEGOOR B.V.",1.86691552373688e-05
4605,"COÖPERATIEVE GILDE HEALTHCARE II U.A.",1.86691552373688e-05
4606,"FINANCIËLE RAPPORTAGES COÖPERATIEF B.A.",1.86691552373688e-05
4607,"HAVERLEIJ B.V.",1.86691552373688e-05
4608,"HOOGKARSPEL-ZUID C.V.",1.86691552373688e-05
4609,"HOOGKARSPELER ONTWIKKELINGSMAATSCHAPPIJ B.V.",1.86691552373688e-05
4610,"LIFE SCIENCES FUND AMSTERDAM B.V.",1.86691552373688e-05
4611,"ONTWIKKELINGSCOMBINATIE PARKZICHT V.O.F.",1.86691552373688e-05
4612,"ONTWIKKELINGSCOMBINATIE VOSHOLEN C.V.",1.86691552373688e-05
4613,"V O F OPPENHUIZERWEG",1.86691552373688e-05
4614,"V.O.F. WESTERAAM II",1.86691552373688e-05
4615,"VOF NUENENS KWARTIER",1.86691552373688e-05
4616,"VOSHOLEN BEHEER B.V.",1.86691552373688e-05
4617,"WFC DEVELOPMENT B.V.",1.86691552373688e-05
4618,"ACHMEA BV",1.86691552373688e-05
4619,"GILDE BUY-OUT FUND III B.V.",1.86691552373688e-05
4620,"KIEVSKIY MIZHNARODNIY BANK ZAT",1.86691552373688e-05
4621,"AVFI TIDE II LP",1.86691552373688e-05
4622,"BETAALVERENIGING NEDERLAND",1.86691552373688e-05
4623,"CONSERVIS LLC",1.86691552373688e-05
4624,"CURRENCE HOLDING B.V.",1.86691552373688e-05
4625,"MMI HOLDING B.V.",1.86691552373688e-05
4626,"TRANSACTIE MONITORING NEDERLAND B.V.",1.86691552373688e-05
4627,"CENTRUM WEESPERSLUIS C.V.",1.86691552373688e-05
4628,"GEM BLOEMENDALERPOLDER C.V.",1.86691552373688e-05
4629,"BEURS VAN BERLAGE C.V.",1.86691552373688e-05
4630,"BEURS VAN BERLAGE VASTGOED B.V.",1.86691552373688e-05
4631,"BIRD CONTROL GROUP B.V.",1.86691552373688e-05
4632,"GRONDEXPLOITATIEMAATSCHAPPIJ VROONDAAL BEHEER B.V.",1.86691552373688e-05
4633,"GRONDEXPLOITATIEMAATSCHAPPIJ VROONDAAL C.V.",1.86691552373688e-05
4634,"INDIA AGRI BUSINESS FUND LTD.",1.86691552373688e-05
4635,"KOPPERT CRESS GROUP B.V.",1.86691552373688e-05
4636,"MATRIX INNOVATION CENTER C.V.",1.86691552373688e-05
4637,"ONTWIKKELINGSMAATSCHAPPIJ 023 C.V.",1.86691552373688e-05
4638,"ONTWIKKELINGSMAATSCHAPPIJ ASSENDELFT-NOORD C.V.",1.86691552373688e-05
4639,"ROTIJ PLANONTWIKKELING BEHEER B.V.",1.86691552373688e-05
4640,"TERRA LAGO INDIO LLC",1.86691552373688e-05
4641,"V.O.F. LEIDSCHENDAM CENTRUM",1.86691552373688e-05
4642,"N.V. STADSHERSTEL BREDA",1.86691552373688e-05
4643,"STAFFORD GLOBAL PRIVATE EQUITY IV",1.86691552373688e-05
4644,"ATS GLOBAL B.V.",1.86691552373688e-05
4645,"BRABANT LIFE SCIENCES SEED FONDS B.V.",1.86691552373688e-05
4646,"TWICE EINDHOVEN B.V.",1.86691552373688e-05
4647,"URCB",1.86691552373688e-05
4648,"D5PARIS ORLEANS",1.86691552373688e-05
4649,"ITB1 LIMITED",1.86691552373688e-05
4650,"NATWEST BANK EUROPE GMBH",1.86691552373688e-05
4651,"THE ROYAL BANK OF SCOTLAND PLC",1.86691552373688e-05
4652,"NATIONAL WESTMINSTER BANK PLC - NATWEST",0.000978842556198979
4653,"ARTUL KOY",1.86691552373688e-05
4654,"AUCHENCARROCH ENERGY LIMITED",1.86691552373688e-05
4655,"CAPULET HOMES FLORIDA LLC",1.86691552373688e-05
4656,"CATHKIN ENERGY LIMITED",1.86691552373688e-05
4657,"COUTTS & CO",1.86691552373688e-05
4658,"CROOK HILL PROPERTIES LTD",1.86691552373688e-05
4659,"ESME LOANS LIMITED",1.86691552373688e-05
4660,"GARLAFF ENERGY LIMITED",1.86691552373688e-05
4661,"KKOY KUOPION VOLTTIKATU 1",1.86691552373688e-05
4662,"KOY PORKKANAKATU 2",1.86691552373688e-05
4663,"LOMBARD IRELAND GROUP HOLDINGS UNLIMITED COMPANY",1.86691552373688e-05
4664,"MONTAGUE HOMES FLORIDA LLC",1.86691552373688e-05
4665,"NATIONAL WESTMINSTER INTERNATIONAL HOLDINGS B.V.",1.86691552373688e-05
